Sector,Stock,Best_By_RMSE_Model,Best_By_RMSE_Value,Best_By_RMSE_Mean_Model,Best_By_RMSE_Mean_Value
Auto,BAJAJ-AUTO,HYBRID,237.49,CNN,0.03
Auto,EICHERMOT,HYBRID,111.32,LSTM,0.02
Auto,M&M,HYBRID,79.73,CNN,0.03
Auto,MARUTI,HYBRID,255.56,CNN,0.02
Auto,TATAMOTORS,HYBRID,30.43,CNN,0.04
Bank,AXISBANK,HYBRID,21.44,CNN,0.02
Bank,HDFCBANK,HYBRID,15.37,CNN,0.02
Bank,ICICIBANK,HYBRID,20.41,CNN,0.02
Bank,KOTAKBANK,CNN,35.75,CNN,0.02
Bank,SBIN,HYBRID,16.64,CNN,0.02
Chemicals,PIDILITIND,HYBRID,23.91,CNN,0.02
Chemicals,PIIND,CNN,94.36,CNN,0.02
Chemicals,SOLARINDS,HYBRID,402.73,CNN,0.04
Chemicals,SRF,HYBRID,60.18,CNN,0.02
Chemicals,UPL,HYBRID,14.58,HYBRID,0.02
FMCG,BRITANNIA,HYBRID,98.81,CNN,0.02
FMCG,HINDUNILVR,HYBRID,41.03,CNN,0.02
FMCG,ITC,HYBRID,6.61,CNN,0.02
FMCG,NESTLEIND,HYBRID,20.96,CNN,0.02
FMCG,TATACONSUM,HYBRID,20.58,CNN,0.02
Healthcare,APOLLOHOSP,HYBRID,131.72,CNN,0.02
Healthcare,CIPLA,HYBRID,25.9,CNN,0.02
Healthcare,DIVISLAB,HYBRID,138.24,CNN,0.03
Healthcare,MAXHEALTH,HYBRID,30.44,CNN,0.03
Healthcare,SUNPHARMA,HYBRID,28.41,CNN,0.02
IT,HCLTECH,HYBRID,34.52,CNN,0.02
IT,INFY,HYBRID,33.73,CNN,0.02
IT,TCS,HYBRID,72.14,CNN,0.02
IT,TECHM,HYBRID,32.15,CNN,0.02
IT,WIPRO,HYBRID,5.83,CNN,0.02
Media,NAZARA,HYBRID,8.46,HYBRID,0.03
Media,PVRINOX,HYBRID,37.22,CNN,0.03
Media,SAREGAMA,CNN,16.4,CNN,0.03
Media,SUNTV,HYBRID,16.47,CNN,0.03
Media,ZEEL,HYBRID,8.52,HYBRID,0.06
Metal,ADANIENT,HYBRID,89.93,CNN,0.03
Metal,HINDALCO,HYBRID,16.73,CNN,0.03
Metal,JSWSTEEL,HYBRID,18.42,CNN,0.02
Metal,TATASTEEL,HYBRID,3.74,HYBRID,0.02
Metal,VEDL,HYBRID,12.92,HYBRID,0.03
OilGas,BPCL,HYBRID,8.19,CNN,0.03
OilGas,GAIL,HYBRID,5.58,CNN,0.03
OilGas,IOC,CNN,4.68,CNN,0.03
OilGas,ONGC,CNN,6.76,CNN,0.03
OilGas,RELIANCE,HYBRID,24.33,CNN,0.02
Pharma,CIPLA,HYBRID,25.9,CNN,0.02
Pharma,DIVISLAB,HYBRID,138.24,CNN,0.03
Pharma,DRREDDY,CNN,21.53,CNN,0.02
Pharma,LUPIN,CNN,48.25,CNN,0.03
Pharma,SUNPHARMA,HYBRID,28.41,CNN,0.02
